['1', '2', '5', '6', '7', '10', '13', '14', '17', '19', '21', '23', '26', '32', '33', '34', '36', '49', '50', '51', '57', '65', '69', '75', '76']
['3', '4', '8', '9', '11', '15', '16', '18', '22', '24', '30', '40', '41', '42', '46', '56', '63', '64', '67', '68', '71', '80', '83', '92', '95']
['12', '20', '25', '27', '28', '31', '35', '38', '39', '44', '47', '48', '52', '53', '58', '73', '82', '86', '91', '98', '101', '104', '108', '115', '122']
['29', '37', '43', '54', '55', '59', '61', '62', '72', '77', '88', '89', '93', '94', '99', '102', '109', '113', '116', '118', '119', '123', '127', '128', '130']
['45', '60', '66', '70', '74', '81', '84', '85', '87', '105', '106', '110', '112', '114', '117', '121', '124', '129', '133', '137', '140', '141', '142', '143', '148']
['78', '79', '90', '96', '97', '100', '103', '107', '111', '120', '125', '126', '134', '135', '144', '145', '149', '151', '152', '153', '154', '155', '156', '160', '161']
['131', '132', '136', '138', '139', '146', '147', '150', '157', '162', '163', '164', '165', '166', '167', '168', '170', '171', '172', '177', '178', '182', '184', '186', '190']
['158', '159', '169', '173', '175', '176', '179', '180', '183', '187', '189', '193', '194', '198', '199', '204', '205', '206', '211', '212', '216', '217', '218', '220', '221']
['174', '181', '185', '188', '191', '192', '195', '196', '197', '200', '201', '203', '207', '208', '210', '214', '215', '219', '222', '223', '224', '225', '226', '227', '228']
['202', '209', '213', '229', '230', '231', '232', '233', '234', '235', '236', '237', '238', '239', '240', '241', '242', '243', '244', '245', '246', '247', '248', '249', '250']
